1	positive	Что такое Lilipup Framework?
2	positive	Какие модули входят в Lilipup Framework?
3	positive	Какой параметр в core включает fail-fast режим?
4	positive	Зачем нужен модуль configuration?
5	positive	Какая аннотация используется для cron-задач в scheduler?
6	positive	Какую обязательную проверку нужно делать после отправки сообщения в Kafka?
7	positive	Как называется конфигурация bootstrap серверов Kafka?
8	positive	Как включить модуль безопасности Lilipup?
9	positive	Какая политика авторизации по умолчанию рекомендуется в security модуле?
10	positive	Какой алгоритм шифрования указан в примере security конфигурации?
11	positive	Что делает lifecycle-хук @OnReady?
12	positive	Какой ключ задает startup timeout в lifecycle конфигурации?
13	positive	Какой параметр ограничивает число ошибок валидации?
14	positive	Какая ошибка возникает при отсутствии обязательного конфигурационного поля?
15	positive	Как ограничить параллельный запуск scheduler-задачи?
16	positive	Какая метрика увеличивается при ошибке оплаты в примере monitoring?
17	positive	Почему нельзя использовать userId как label в метриках?
18	positive	Как включить экспорт метрик в Prometheus?
19	positive	Что делать с сообщением Kafka после исчерпания retry попыток?
20	positive	Какой подход к dependency injection рекомендуется в core?
21	positive	Что делать с неизвестными ключами в YAML в production?
22	positive	Какая аннотация используется для Kafka consumer метода?
23	positive	Какой режим подтверждения сообщений используется в примере Kafka consumer?
24	positive	Какие параметры задают retry и backoff в kafka конфиге?
25	positive	Какой параметр задает профиль конфигурации?
26	positive	Как называется контейнер компонентов в core?
27	positive	Что означает ошибка CircularDependencyException?
28	positive	Для чего нужен ReadinessProbe в lifecycle?
29	positive	Когда рекомендуется включать fail-fast валидацию?
30	positive	Где рекомендуется хранить секреты для конфигурации?
31	negative	Какой модуль Lilipup отвечает за GraphQL subscriptions?
32	negative	Есть ли в Lilipup встроенная интеграция с Redis Streams?
33	negative	Как настроить gRPC interceptor в Lilipup?
34	negative	Что делает аннотация @LilipupTransactional?
35	negative	Поддерживает ли Lilipup Kotlin coroutines из коробки?
36	negative	Какая команда CLI создает проект: lilipup init?
37	negative	Какой default порт у встроенного actuator в Lilipup?
38	negative	Есть ли модуль Lilipup для MongoDB?
39	negative	Как настроить OAuth2 PKCE flow в security модуле?
40	negative	Какой класс в Lilipup создает S3 client?
41	negative	Поддерживается ли RabbitMQ интеграция в стандартных модулях?
42	negative	Есть ли в Lilipup аннотация @LilipupSaga для distributed transactions?
43	negative	Как включить WebSocket STOMP endpoint в Lilipup?
44	negative	Есть ли встроенные миграции схемы БД наподобие Flyway?
45	negative	Как настроить параметр lilipup.kafka.ssl.keystore-location?
46	negative	Как Lilipup настраивает multi-region active-active replication?
47	negative	Есть ли отдельный модуль rate limiting в Lilipup?
48	negative	Какой endpoint healthcheck используется по умолчанию: /actuator/health?
49	negative	Какая лицензия у Lilipup Framework?
50	negative	Кто автор Lilipup и дата первого релиза?
